x,y
0,104
0,112
0,120
0,128
0,136
0,144
0,152
0,160
0,168
0,176
0,184
0,192
0,200
0,208
0,216
0,224
0,232
8,92
8,100
8,108
8,116
8,124
8,132
8,140
8,148
8,156
8,164
8,172
8,180
8,188
8,196
8,204
8,212
8,220
8,228
8,236
8,244
16,88
16,96
16,104
16,112
16,120
16,128
16,136
16,144
16,152
16,160
16,168
16,176
16,184
16,192
16,200
16,208
16,216
16,224
16,232
16,240
16,248
24,92
24,100
24,108
24,116
24,124
24,132
24,140
24,148
24,156
24,164
24,172
24,180
24,188
24,196
24,204
24,212
24,220
24,228
24,236
24,244
32,88
32,96
32,104
32,112
32,120
32,128
32,136
32,144
32,152
32,160
32,168
32,176
32,184
32,192
32,200
32,208
32,216
32,224
32,232
32,240
32,248
40,100
40,108
40,116
40,124
40,132
40,140
40,148
40,156
40,164
40,172
40,180
40,188
40,196
40,204
40,212
40,220
40,228
40,236
40,244
48,104
48,112
48,120
48,128
48,136
48,144
48,152
48,160
48,168
48,176
48,184
48,192
48,200
48,208
48,216
48,224
48,232
48,240
48,248
56,116
56,124
56,132
56,140
56,148
56,156
56,164
56,172
56,180
56,188
56,196
56,204
56,212
56,220
56,228
56,236
56,244
64,120
64,128
64,136
64,144
64,152
64,160
64,168
64,176
64,184
64,192
64,200
64,208
64,216
64,224
64,232
64,240
64,248
64,256
64,264
72,124
72,132
72,140
72,148
72,156
72,164
72,172
72,180
72,188
72,196
72,204
72,212
72,220
72,228
72,236
72,244
72,252
72,260
72,268
72,276
72,284
72,292
72,300
72,308
80,128
80,136
80,144
80,152
80,160
80,168
80,176
80,184
80,192
80,200
80,208
80,216
80,224
80,232
80,240
80,248
80,256
80,264
80,272
80,280
80,288
80,296
80,304
80,312
80,320
80,328
88,124
88,132
88,140
88,148
88,156
88,164
88,172
88,180
88,188
88,196
88,204
88,212
88,220
88,228
88,236
88,244
88,252
88,260
88,268
88,276
88,284
88,292
88,300
88,308
88,316
88,324
88,332
88,340
88,348
96,128
96,136
96,144
96,152
96,160
96,168
96,176
96,184
96,192
96,200
96,208
96,216
96,224
96,232
96,240
96,248
96,256
96,264
96,272
96,280
96,288
96,296
96,304
96,312
96,320
96,328
96,336
96,344
96,352
96,360
104,124
104,132
104,140
104,148
104,156
104,164
104,172
104,180
104,188
104,196
104,204
104,212
104,220
104,228
104,236
104,244
104,252
104,260
104,268
104,276
104,284
104,292
104,300
104,308
104,316
104,324
104,332
104,340
104,348
104,356
104,364
104,372
112,120
112,128
112,136
112,144
112,152
112,160
112,168
112,176
112,184
112,192
112,200
112,208
112,216
112,224
112,232
112,240
112,248
112,256
112,264
112,272
112,280
112,288
112,296
112,304
112,312
112,320
112,328
112,336
112,344
112,352
112,360
112,368
112,376
112,384
120,108
120,116
120,124
120,132
120,140
120,148
120,156
120,164
120,172
120,180
120,188
120,196
120,204
120,212
120,220
120,228
120,236
120,244
120,252
120,260
120,268
120,276
120,284
120,292
120,300
120,308
120,316
120,324
120,332
120,340
120,348
120,356
120,364
120,372
120,380
120,388
120,396
128,104
128,112
128,120
128,128
128,136
128,144
128,152
128,160
128,168
128,176
128,184
128,192
128,200
128,208
128,216
128,224
128,232
128,240
128,248
128,264
128,272
128,280
128,288
128,296
128,304
128,312
128,320
128,328
128,336
128,344
128,352
128,360
128,368
128,376
128,384
128,392
128,400
136,92
136,100
136,108
136,116
136,124
136,132
136,140
136,148
136,156
136,164
136,172
136,180
136,188
136,196
136,204
136,212
136,220
136,228
136,236
136,244
136,300
136,308
136,316
136,324
136,332
136,340
136,348
136,356
136,364
136,372
136,380
136,388
136,396
136,404
144,88
144,96
144,104
144,112
144,120
144,128
144,136
144,144
144,152
144,160
144,168
144,176
144,184
144,192
144,200
144,208
144,216
144,224
144,232
144,240
144,248
144,320
144,328
144,336
144,344
144,352
144,360
144,368
144,376
144,384
144,392
144,400
144,408
144,416
152,84
152,92
152,100
152,108
152,116
152,124
152,132
152,140
152,148
152,156
152,164
152,172
152,180
152,188
152,196
152,204
152,212
152,220
152,228
152,236
152,244
152,340
152,348
152,356
152,364
152,372
152,380
152,388
152,396
152,404
152,412
152,420
160,80
160,88
160,96
160,104
160,112
160,120
160,128
160,136
160,144
160,152
160,160
160,168
160,176
160,184
160,192
160,200
160,208
160,216
160,224
160,232
160,240
160,248
160,344
160,352
160,360
160,368
160,376
160,384
160,392
160,400
160,408
160,416
160,424
168,68
168,76
168,84
168,92
168,100
168,108
168,116
168,124
168,132
168,140
168,148
168,156
168,164
168,172
168,180
168,188
168,196
168,204
168,212
168,220
168,228
168,236
168,244
168,356
168,364
168,372
168,380
168,388
168,396
168,404
168,412
168,420
168,428
176,64
176,72
176,80
176,88
176,96
176,104
176,112
176,120
176,128
176,136
176,144
176,152
176,160
176,168
176,176
176,184
176,192
176,200
176,208
176,216
176,224
176,232
176,240
176,248
176,368
176,376
176,384
176,392
176,400
176,408
176,416
176,424
176,432
184,60
184,68
184,76
184,84
184,92
184,100
184,108
184,116
184,124
184,132
184,140
184,148
184,156
184,164
184,172
184,180
184,188
184,196
184,204
184,212
184,220
184,228
184,236
184,244
184,372
184,380
184,388
184,396
184,404
184,412
184,420
184,428
184,436
192,56
192,64
192,72
192,80
192,88
192,96
192,104
192,112
192,120
192,128
192,136
192,144
192,152
192,160
192,168
192,176
192,184
192,192
192,200
192,208
192,216
192,224
192,232
192,240
192,248
192,376
192,384
192,392
192,400
192,408
192,416
192,424
192,432
192,440
200,52
200,60
200,68
200,76
200,84
200,92
200,100
200,108
200,116
200,124
200,132
200,140
200,148
200,156
200,164
200,172
200,180
200,188
200,196
200,204
200,212
200,220
200,228
200,236
200,244
200,380
200,388
200,396
200,404
200,412
200,420
200,428
200,436
200,444
208,56
208,64
208,72
208,80
208,88
208,96
208,104
208,112
208,128
208,136
208,144
208,152
208,160
208,168
208,176
208,184
208,192
208,200
208,208
208,216
208,224
208,232
208,240
208,248
208,384
208,392
208,400
208,408
208,416
208,424
208,432
208,440
208,448
216,52
216,60
216,68
216,76
216,84
216,92
216,100
216,108
216,124
216,132
216,140
216,148
216,156
216,164
216,172
216,180
216,188
216,196
216,204
216,212
216,220
216,228
216,236
216,244
216,388
216,396
216,404
216,412
216,420
216,428
216,436
216,444
216,452
224,48
224,56
224,64
224,72
224,80
224,88
224,96
224,104
224,128
224,136
224,144
224,152
224,160
224,168
224,176
224,184
224,192
224,200
224,208
224,216
224,224
224,232
224,240
224,248
224,392
224,400
224,408
224,416
224,424
224,432
224,440
224,448
224,456
232,44
232,52
232,60
232,68
232,76
232,84
232,92
232,100
232,108
232,124
232,132
232,140
232,148
232,156
232,164
232,172
232,180
232,188
232,196
232,204
232,212
232,220
232,228
232,236
232,244
232,396
232,404
232,412
232,420
232,428
232,436
232,444
232,452
232,460
240,48
240,56
240,64
240,72
240,80
240,88
240,96
240,104
240,128
240,136
240,144
240,152
240,160
240,168
240,176
240,184
240,192
240,200
240,208
240,216
240,224
240,232
240,240
240,248
240,400
240,408
240,416
240,424
240,432
240,440
240,448
240,456
248,44
248,52
248,60
248,68
248,76
248,84
248,92
248,100
248,124
248,132
248,140
248,148
248,156
248,164
248,172
248,180
248,188
248,196
248,204
248,212
248,220
248,228
248,236
248,244
248,404
248,412
248,420
248,428
248,436
248,444
248,452
248,460
256,40
256,48
256,56
256,64
256,72
256,80
256,88
256,96
256,128
256,136
256,144
256,152
256,160
256,168
256,176
256,184
256,192
256,200
256,208
256,216
256,224
256,232
256,240
256,248
256,400
256,408
256,416
256,424
256,432
256,440
256,448
256,456
264,44
264,52
264,60
264,68
264,76
264,84
264,92
264,100
264,124
264,132
264,140
264,148
264,156
264,164
264,172
264,180
264,188
264,196
264,204
264,212
264,220
264,228
264,236
264,244
264,404
264,412
264,420
264,428
264,436
264,444
264,452
264,460
272,40
272,48
272,56
272,64
272,72
272,80
272,88
272,96
272,128
272,136
272,144
272,152
272,160
272,168
272,176
272,184
272,192
272,200
272,208
272,216
272,224
272,232
272,240
272,248
272,408
272,416
272,424
272,432
272,440
272,448
272,456
272,464
280,44
280,52
280,60
280,68
280,76
280,84
280,92
280,100
280,124
280,132
