kill,left,point_id,red_side,time,title,top
True,373,2322560,True,0.2080411407199626,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,468
True,185,2322562,False,0.2374941561477326,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,145
True,286,2322575,False,0.37120149602618047,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,221
True,181,2322580,True,0.42917251051893407,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,207
True,137,2322582,True,0.43384759233286585,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,184
True,158,2322581,True,0.43384759233286585,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,184
True,92,2322598,True,0.7241701729780271,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,114
True,139,2322599,False,0.7246376811594203,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,104
True,111,2322600,True,0.7255726975222067,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,65
True,121,2322602,False,0.729312762973352,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,194
True,150,2322610,True,0.841982234689107,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,181
True,145,2322611,True,0.8457223001402524,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,161
True,161,2322612,True,0.8485273492286115,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,107
True,130,2322613,True,0.8485273492286115,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,119
True,88,2322614,True,0.8522674146797569,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,35
True,45,2322632,True,0.9831697054698457,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,381
True,34,2322634,True,0.989247311827957,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,459
True,36,2322636,True,0.9906498363721365,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,484
True,33,2322637,True,0.9934548854604955,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,458
True,38,2322638,True,0.9953249181860683,EDG vs DWG KIA game 1 Timeline - World Championship 2021 FINALS - Games of Legends,488
True,304,2322661,False,0.39009287925696595,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,228
True,169,2322665,True,0.45304437564499483,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,215
True,208,2322666,False,0.4545923632610939,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,204
True,184,2322667,False,0.4551083591331269,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,248
True,303,2322672,False,0.5072239422084623,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,282
True,292,2322673,True,0.5149638802889577,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,324
True,295,2322674,False,0.5159958720330238,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,355
True,237,2322675,False,0.5196078431372549,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,334
True,230,2322676,False,0.5237358101135191,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,349
True,385,2322687,False,0.6842105263157895,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,312
True,352,2322688,False,0.6847265221878225,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,334
True,160,2322691,False,0.7100103199174407,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,156
True,217,2322693,False,0.7131062951496389,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,223
True,348,2322701,False,0.8581011351909185,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,291
True,331,2322702,True,0.8581011351909185,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,304
True,387,2322703,False,0.8591331269349846,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,277
True,301,2322705,False,0.8632610939112487,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,295
True,201,2322711,False,0.9293085655314758,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,211
True,161,2322712,False,0.9370485036119711,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,201
True,164,2322713,False,0.9458204334365325,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,140
True,474,2322717,False,0.9850361197110423,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,270
True,482,2322718,False,0.9850361197110423,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,259
True,484,2322719,False,0.9850361197110423,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,262
True,469,2322720,False,0.9855521155830753,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,248
True,466,2322721,False,0.9871001031991744,EDG vs DWG KIA game 2 Timeline - World Championship 2021 FINALS - Games of Legends,203
True,423,2322746,False,0.299722479185939,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,410
True,83,2322754,True,0.3538390379278446,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,87
True,29,2322755,True,0.35661424606845515,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,96
True,49,2322756,False,0.35707678075855687,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,100
True,35,2322760,False,0.4375578168362627,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,38
True,179,2322762,False,0.45467160037002774,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,200
True,186,2322767,True,0.48334875115633674,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,80
True,324,2322776,True,0.6248843663274746,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,319
True,312,2322777,False,0.6276595744680851,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,298
True,396,2322785,False,0.7779833487511564,EDG vs DWG KIA game 3 Timeline - World Championship 2021 FINALS - Games of Legends,353
